library,compound_id,label,MW,logP,HBD,HBA,TPSA,RotBonds,AromaticRings,HeavyAtoms,FormalCharge,QED,Fsp3,LipinskiViolations
fpr2_actives_chembl,CHEMBL5793081,active,411.42800000000017,3.5089000000000015,2,3,79.26,6,2,29,0,0.7636034363302117,0.42105263157894735,0
fpr2_actives_chembl,CHEMBL5768128,active,318.76000000000005,3.157400000000001,3,2,78.43,5,2,22,0,0.7920519649756551,0.125,0
fpr2_actives_chembl,CHEMBL5914414,active,314.341,2.5126,3,3,87.66000000000001,6,2,23,0,0.7642744468937792,0.17647058823529413,0
fpr2_actives_chembl,CHEMBL5831710,active,352.31200000000007,3.5228,3,2,78.43,5,2,25,0,0.7703482946846434,0.17647058823529413,0
fpr2_actives_chembl,CHEMBL5776405,active,368.31100000000004,3.4026000000000005,3,3,87.66000000000001,6,2,26,0,0.7292751138902629,0.17647058823529413,0
fpr2_actives_chembl,CHEMBL5795019,active,344.3670000000001,2.5212000000000003,3,4,96.89000000000001,7,2,25,0,0.7170302163202154,0.2222222222222222,0
fpr2_actives_chembl,CHEMBL6024332,active,410.2110000000001,3.108600000000001,3,2,78.43,5,2,22,0,0.6634015108832821,0.125,0
fpr2_actives_chembl,CHEMBL5948056,active,363.21100000000007,3.2665000000000006,3,2,78.43,5,2,22,0,0.7630802445496692,0.125,0
fpr2_actives_chembl,CHEMBL5869476,active,349.184,3.3965000000000005,3,2,78.43,4,2,21,0,0.7917068824396679,0.06666666666666667,0
fpr2_actives_chembl,CHEMBL6045785,active,402.2480000000001,3.7478000000000007,4,2,94.22000000000001,5,3,25,0,0.5237588782265686,0.1111111111111111,0
fpr2_actives_chembl,CHEMBL5819660,active,315.16700000000003,2.6798,3,2,78.43,4,1,18,0,0.799134196520574,0.3333333333333333,0
fpr2_actives_chembl,CHEMBL6006035,active,336.7790000000002,2.6312000000000006,3,3,90.53999999999999,2,1,23,0,0.724998512566416,0.4,0
fpr2_actives_chembl,CHEMBL6041994,active,310.74100000000004,2.097,3,3,90.53999999999999,3,1,21,0,0.746662604293705,0.3076923076923077,0
fpr2_actives_chembl,CHEMBL5888571,active,352.3940000000001,2.6664000000000003,3,3,90.53999999999999,5,2,26,0,0.7227233454524074,0.21052631578947367,0
fpr2_actives_chembl,CHEMBL5965860,active,330.3880000000001,2.5322200000000006,3,3,90.53999999999999,2,1,24,0,0.7278526383746209,0.47058823529411764,0
fpr2_actives_chembl,CHEMBL6060099,active,370.3840000000001,2.8055000000000003,3,3,90.53999999999999,5,2,27,0,0.7071055762286438,0.21052631578947367,0
fpr2_actives_chembl,CHEMBL5873264,active,340.1770000000001,1.7179999999999995,2,3,78.51,3,1,20,0,0.8226927331728752,0.3076923076923077,0
fpr2_actives_chembl,CHEMBL5947395,active,368.23100000000005,2.4982000000000006,2,3,78.51,5,1,22,0,0.7842743025095418,0.4,0
fpr2_actives_chembl,CHEMBL4442588,active,380.24199999999996,2.6423000000000005,2,3,78.51,3,1,23,0,0.7918250727795507,0.4375,0
fpr2_actives_chembl,CHEMBL6033811,active,367.20300000000026,2.3502,3,3,90.53999999999999,2,1,22,0,0.7012255949895765,0.35714285714285715,0
fpr2_actives_chembl,CHEMBL5828880,active,397.2730000000001,3.376400000000001,3,3,90.53999999999999,6,1,24,0,0.6431826811148034,0.4375,0
fpr2_actives_chembl,CHEMBL5746606,active,417.26300000000003,3.3429,3,3,90.53999999999999,4,2,26,0,0.6669440017161709,0.16666666666666666,0
fpr2_actives_chembl,CHEMBL6010160,active,367.2030000000001,2.2061,3,3,90.53999999999999,3,1,22,0,0.7158072683466056,0.35714285714285715,0
fpr2_actives_chembl,CHEMBL6027982,active,395.25700000000035,3.1304000000000016,3,3,90.53999999999999,2,1,24,0,0.6724286914324696,0.4375,0
fpr2_actives_chembl,CHEMBL5741761,active,355.19200000000006,2.2061,3,3,90.53999999999999,3,1,21,0,0.7263939747837533,0.3076923076923077,0
fpr2_actives_chembl,CHEMBL6059712,active,324.7680000000001,2.4871000000000008,3,3,90.53999999999999,4,1,22,0,0.7430767987236568,0.35714285714285715,0
fpr2_actives_chembl,CHEMBL5844813,active,308.31300000000005,1.9727999999999999,3,3,90.53999999999999,4,1,22,0,0.7427633813186495,0.35714285714285715,0
